phone_number,email,credit_score,age_group,family_background,income,occupation,previous_interaction,comments,intent
419.723.9195x00386,ohawkins@hotmail.com,757,26-35,Married with Kids,596708,Business,Yes,please call back,1
001-091-924-7068,bentonomar@hotmail.com,481,51+,Single,868436,Engineer,No,urgent,1
+1-252-397-5660x0831,lauren51@hotmail.com,533,18-25,Married,332140,Student,Yes,,1
913-501-4531,angie02@stewart.com,603,51+,Married with Kids,692702,Artist,No,not interested,0
+1-647-604-7822x368,brandy89@bridges.com,764,51+,Married with Kids,738819,Business,No,urgent,1
+1-126-317-1455x9768,grantdecker@kemp-simmons.biz,607,51+,Married with Kids,833701,Artist,Yes,please call back,1
388.608.5851,palmerrachel@hotmail.com,586,51+,Married with Kids,905483,Student,No,,1
(533)513-2363,rrollins@yahoo.com,507,51+,Married with Kids,854869,Business,Yes,please call back,1
001-064-955-9923x3950,ihaney@hotmail.com,350,51+,Married,571708,Artist,No,,0
(929)836-9977,davidknox@rogers.net,454,51+,Single,773989,Artist,No,,1
(367)759-2481x216,elizabeth26@yahoo.com,588,26-35,Married with Kids,401215,Business,Yes,not interested,0
466-860-2124,tanyalopez@hotmail.com,639,36-50,Married with Kids,782104,Artist,Yes,please call back,1
+1-305-457-1700x9676,paulstanton@barnes.net,780,18-25,Married with Kids,269439,Student,No,urgent,1
+1-444-685-9633x79160,brownmadison@chen.com,473,18-25,Single,886488,Artist,No,follow up later,1
289.028.1020,brownamber@landry.biz,739,36-50,Married with Kids,313617,Business,Yes,not interested,0
(359)429-6805x1754,stevensmonica@hotmail.com,823,26-35,Single,784794,Student,Yes,follow up later,1
993.606.3023x542,pblair@sanders.com,445,26-35,Married with Kids,523491,Engineer,Yes,,1
190.302.2742,ramirezmichael@clark.info,390,36-50,Single,558691,Business,Yes,please call back,0
395.110.5662,kellylopez@yahoo.com,674,26-35,Married with Kids,620482,Artist,No,,1
716.894.6776x38921,fmiller@gmail.com,426,51+,Single,237608,Business,No,not interested,0
(270)212-6414,aliciaduncan@anderson-wright.net,707,51+,Married,731254,Doctor,No,urgent,1
001-583-838-2182,ibarrett@gmail.com,630,18-25,Single,849926,Doctor,No,not interested,1
657.082.4156,michele72@bruce.com,365,36-50,Married,721310,Engineer,Yes,urgent,1
241.489.9789x11117,phillip03@gibson-barnett.net,573,26-35,Married with Kids,365013,Artist,No,please call back,1
640.294.3194x146,yprince@morrison-davis.com,574,36-50,Married with Kids,932767,Student,Yes,urgent,1
001-891-388-5391x6382,johnsonjulie@rodriguez.biz,386,36-50,Married with Kids,870904,Business,No,urgent,1
(135)978-5321x02386,charlescunningham@ewing.com,717,18-25,Single,865252,Engineer,Yes,please call back,1
234-432-8229,elizabeth87@bishop.org,596,36-50,Single,826047,Artist,No,not interested,1
185-868-9518x16398,curtis88@martin.com,669,26-35,Married,544748,Engineer,No,please call back,1
5855049832,lpark@gmail.com,432,36-50,Single,135481,Doctor,No,follow up later,0
872-628-7245x18811,stanleyamy@hotmail.com,480,51+,Married,435151,Doctor,Yes,,0
038.754.7720x87442,kylereed@hotmail.com,513,18-25,Married with Kids,874996,Business,No,not interested,1
+1-452-226-1752x9756,lisa06@norris-chapman.com,582,51+,Married with Kids,616789,Artist,Yes,follow up later,1
+1-413-804-7271x9335,michelelarson@flowers-mack.com,790,51+,Single,489408,Artist,No,follow up later,1
(679)733-8864,russellweaver@savage.org,461,36-50,Married with Kids,293467,Doctor,No,please call back,0
418-325-3200x15836,moodymelvin@yahoo.com,494,18-25,Married,606068,Artist,Yes,not interested,0
851-403-9239x00473,larry71@ross-arnold.com,544,51+,Single,929509,Artist,Yes,please call back,1
(836)899-0868x2213,gwaller@scott-higgins.com,796,18-25,Single,863508,Artist,No,urgent,1
024-302-3803x28791,anthony47@nguyen.com,579,18-25,Single,286226,Engineer,Yes,follow up later,1
830.239.1200,psmith@garrett.org,801,18-25,Married with Kids,238416,Business,No,,1
(545)352-1806x01908,collinsangela@russo-fernandez.com,400,26-35,Married with Kids,825439,Artist,Yes,urgent,1
+1-589-220-1359x9681,joe13@harris.info,339,18-25,Married with Kids,521662,Artist,Yes,follow up later,0
898.616.8441x5876,dkent@hotmail.com,549,26-35,Married,324674,Engineer,Yes,follow up later,0
493-686-1097x4138,anna25@miller-oconnell.com,727,51+,Single,487226,Doctor,Yes,urgent,1
001-980-470-3574x4957,kleinangelica@harris.biz,463,36-50,Single,428805,Business,Yes,urgent,1
001-628-716-4506x6902,aaronhess@hotmail.com,401,51+,Single,441588,Student,No,,0
530-664-5741,theresa24@case.com,628,18-25,Single,179280,Doctor,No,please call back,0
482.875.1827x72646,ramirezriley@clark.com,720,36-50,Married,353428,Artist,No,not interested,0
+1-339-464-8511x4749,moraleslisa@dorsey.org,633,36-50,Single,130496,Engineer,No,urgent,1
544-893-3593x5242,vhoward@vega.biz,701,51+,Single,304371,Doctor,Yes,follow up later,1
109.618.2230x0901,huangdenise@estrada.com,693,36-50,Married with Kids,788050,Doctor,Yes,please call back,1
455.039.3838,john40@yahoo.com,719,26-35,Single,218911,Doctor,No,,1
926-145-6109x84163,yjohnson@yahoo.com,551,36-50,Single,755196,Engineer,No,please call back,1
+1-077-432-3186,pmadden@patel-anderson.info,639,18-25,Single,786350,Engineer,Yes,please call back,1
+1-648-411-9924x5316,jessica06@yahoo.com,653,36-50,Married with Kids,435196,Engineer,No,urgent,1
037.592.3249x252,webbsteven@smith.biz,443,26-35,Single,874107,Artist,No,,1
+1-454-638-8985x8131,vgardner@hotmail.com,702,36-50,Married with Kids,625787,Artist,Yes,please call back,1
+1-605-111-5889x78305,michael03@hotmail.com,672,18-25,Married,644984,Student,No,,1
635.673.9739x67007,wilsoncassandra@boyd.com,818,36-50,Married,634460,Doctor,Yes,please call back,1
(178)566-0270x90037,thomashenson@gmail.com,479,18-25,Single,331735,Student,No,,0
001-150-483-9523x603,rachel11@coleman.info,518,36-50,Single,774905,Artist,No,,1
+1-899-576-2409x189,dhill@yahoo.com,734,36-50,Single,639113,Business,Yes,,1
120-866-9821x187,jacksoncaleb@white.com,335,51+,Married with Kids,664390,Business,Yes,not interested,0
(482)018-3390,warrenrodriguez@trujillo.biz,732,26-35,Married,435388,Business,No,please call back,1
628.002.4658,mejiamichelle@palmer-gallagher.com,831,51+,Single,165563,Business,No,follow up later,1
4394520090,qlopez@hotmail.com,756,26-35,Single,897528,Doctor,No,please call back,1
001-713-003-2734x79417,dennis71@gmail.com,332,18-25,Single,879480,Engineer,Yes,follow up later,1
+1-760-822-4309x518,emiller@raymond.com,538,36-50,Married with Kids,555754,Business,No,not interested,0
(046)443-0034x47865,stewartdavid@heath-hernandez.net,572,36-50,Single,382468,Business,Yes,,1
1749633937,tiffanyzhang@castro.com,425,18-25,Married with Kids,179131,Business,Yes,follow up later,0
+1-274-358-0170x807,hopkinscarol@pugh.com,655,51+,Married,177423,Student,No,not interested,0
001-150-784-2064,rachelhumphrey@gmail.com,568,18-25,Married with Kids,166922,Student,No,urgent,1
685-963-4639x28523,walter62@gmail.com,366,18-25,Married with Kids,168633,Student,Yes,please call back,0
1345135116,omendoza@garcia.net,816,51+,Single,469477,Student,Yes,follow up later,1
(458)761-0819,zwalsh@gmail.com,413,18-25,Single,470987,Engineer,Yes,follow up later,0
452.310.7594x79488,jacobortega@hotmail.com,437,51+,Single,697608,Doctor,Yes,not interested,0
164-353-0757x2277,qgilbert@gmail.com,422,18-25,Married,206777,Artist,Yes,not interested,0
9643025703,robertprince@gmail.com,712,51+,Single,288081,Engineer,No,please call back,1
856-424-1377,ashleyshaffer@gmail.com,802,18-25,Married with Kids,790435,Business,No,please call back,1
001-754-790-8495x246,elizabeth93@yahoo.com,450,26-35,Married with Kids,735772,Student,No,please call back,1
001-124-812-3644x31154,katherinelewis@yahoo.com,393,26-35,Married,284185,Business,No,not interested,0
+1-150-028-3579x778,mreynolds@brown-bell.com,562,18-25,Married with Kids,519559,Business,No,not interested,0
431-940-0614,sean12@yahoo.com,426,51+,Married with Kids,187329,Artist,No,,0
(649)440-5349,tbrown@gmail.com,768,36-50,Married with Kids,149587,Student,Yes,,1
583.390.2353x988,eugeneking@gmail.com,815,36-50,Married,605013,Student,Yes,not interested,1
606.794.0450,sarah10@gmail.com,552,51+,Married with Kids,356899,Doctor,No,not interested,0
+1-706-504-0094x381,hendersonmonica@gmail.com,327,18-25,Married with Kids,189854,Student,Yes,please call back,0
+1-579-347-6784x7508,jarnold@white.com,761,51+,Married with Kids,266732,Artist,No,follow up later,1
(070)074-0316,carrollellen@hotmail.com,501,36-50,Married,132856,Student,Yes,please call back,0
654.194.8910x81664,martinbarbara@soto-alvarez.org,492,51+,Married with Kids,112980,Business,No,follow up later,0
4886819388,hflores@cruz.com,306,36-50,Married,460111,Doctor,Yes,follow up later,1
(887)330-0863x377,charrison@garrett.com,712,36-50,Married,503355,Engineer,Yes,urgent,1
001-021-503-0331x410,charles67@anderson.org,521,51+,Married with Kids,834905,Doctor,Yes,,1
(925)314-8726x4728,kevin00@gmail.com,688,18-25,Single,913734,Engineer,Yes,urgent,1
001-278-284-9053,karenjordan@gmail.com,581,51+,Single,776487,Student,Yes,please call back,1
+1-223-140-6184x813,duane90@williams-phelps.net,624,26-35,Married,356250,Student,No,urgent,1
001-746-357-9248x3783,xmendoza@hotmail.com,698,36-50,Single,559296,Doctor,Yes,follow up later,1
351-730-3969,beardwilliam@gmail.com,496,18-25,Married with Kids,753186,Business,No,not interested,1
324.916.5397,chad99@oliver.info,353,36-50,Married with Kids,431845,Student,Yes,please call back,1
(038)210-6616x85531,kriley@fisher-kim.biz,609,18-25,Single,120322,Doctor,No,not interested,0
(897)972-6505,morganamy@yahoo.com,667,18-25,Married with Kids,639035,Doctor,Yes,please call back,0
001-804-939-9643,moliver@clark.com,467,51+,Married with Kids,437865,Student,Yes,urgent,1
595.086.8796,christophernichols@hotmail.com,521,36-50,Married with Kids,676115,Business,No,not interested,0
001-418-002-8404x00579,richard82@smith-crawford.com,608,18-25,Married with Kids,492280,Student,Yes,please call back,1
001-684-365-7219x42955,leelisa@hotmail.com,401,36-50,Married with Kids,538559,Doctor,No,not interested,0
(545)184-4346,meredithfoster@diaz-lee.com,448,26-35,Married,901215,Engineer,No,urgent,1
210.384.2163x15412,jasmineedwards@castillo-pierce.org,459,51+,Single,538007,Student,No,not interested,0
001-838-603-9767x48812,mark41@ayers-martin.net,407,36-50,Single,568000,Student,Yes,please call back,1
607-326-6937x544,kathleenscott@yahoo.com,619,26-35,Single,512204,Artist,Yes,urgent,1
(236)473-1113,vfloyd@hotmail.com,400,18-25,Married with Kids,189307,Engineer,Yes,follow up later,0
114.117.9634,hooperjames@hotmail.com,496,26-35,Married with Kids,630443,Student,No,,0
0746995783,sara24@cooper.com,485,36-50,Married,837367,Business,No,please call back,1
(250)266-6073,taylor32@vaughan.com,605,26-35,Married,690347,Business,Yes,not interested,0
1180474509,nicholasstevenson@taylor-cook.com,488,51+,Single,255233,Business,Yes,,1
(633)984-5834x962,vickie51@gmail.com,782,26-35,Married,143166,Engineer,Yes,follow up later,1
(829)004-9410x26809,susan60@hotmail.com,567,26-35,Married,820023,Doctor,Yes,,1
1760455987,vjohnson@hotmail.com,572,26-35,Married with Kids,984530,Artist,Yes,urgent,1
453.947.4407x5116,alexisgentry@castro.com,753,51+,Single,584631,Doctor,No,,1
8401831141,krobbins@wilkins-lowe.com,316,18-25,Married,779115,Artist,Yes,urgent,1
987.153.4679x30062,brobinson@torres.com,686,36-50,Single,674209,Business,No,urgent,1
052-607-0047x82177,berryrachel@diaz.biz,361,26-35,Married,263827,Doctor,No,not interested,0
2259844254,holly37@gmail.com,446,26-35,Married with Kids,620036,Artist,Yes,,1
+1-129-625-7050x58334,brianna21@yahoo.com,749,26-35,Single,160306,Business,Yes,please call back,0
001-467-175-7823x733,christopher79@hotmail.com,381,36-50,Married,508814,Artist,Yes,please call back,0
461-855-8513,laura02@hotmail.com,800,18-25,Single,416700,Student,Yes,follow up later,1
154.371.9559,anthony90@baker-davenport.com,767,36-50,Married,408204,Engineer,No,please call back,1
7964188051,amontgomery@hotmail.com,496,26-35,Single,519294,Business,Yes,follow up later,1
(521)690-9443x771,qpeterson@nielsen-johnson.com,683,26-35,Single,887448,Artist,No,urgent,1
+1-405-713-6652,kwright@nelson-stokes.info,694,18-25,Single,413971,Engineer,Yes,follow up later,1
743-026-0353x031,sthomas@yahoo.com,716,51+,Single,649247,Engineer,Yes,follow up later,1
+1-880-395-0652x5818,prestonashley@mercado.net,627,51+,Married,502023,Doctor,Yes,,1
(779)196-1533x28040,joseph69@harrison.biz,583,51+,Single,904209,Doctor,Yes,urgent,1
(741)558-4119,harveylaura@hotmail.com,844,26-35,Married,674285,Business,No,,1
465-912-5677x5150,zacharymaynard@fitzgerald.info,357,26-35,Married with Kids,716803,Engineer,Yes,please call back,1
103.468.5408x085,jamesbaker@gill-barnes.com,357,51+,Married,803299,Business,Yes,urgent,1
+1-032-728-7751,wjones@yahoo.com,495,26-35,Married with Kids,123769,Doctor,No,please call back,0
(593)507-5151x5396,mswanson@yahoo.com,793,26-35,Married with Kids,217950,Student,No,follow up later,1
001-984-621-7049x5721,mullinsnancy@miller.com,472,51+,Single,717924,Doctor,No,urgent,1
923-314-5760x8082,thomas21@hotmail.com,412,26-35,Single,909481,Engineer,No,follow up later,1
001-127-776-2290,keith95@gmail.com,381,26-35,Married,470487,Student,Yes,please call back,1
(399)646-5362,usimmons@gmail.com,713,36-50,Married with Kids,483316,Business,No,,1
862-609-8455x89713,debraward@yahoo.com,353,51+,Single,321315,Student,No,,0
+1-187-658-1537x98429,pennysteele@gmail.com,342,51+,Married,825475,Doctor,No,follow up later,1
001-226-201-9633,xlawson@blackwell.biz,587,26-35,Married,606486,Doctor,No,,0
001-067-434-7171x563,bakerlisa@yahoo.com,506,18-25,Married with Kids,182722,Doctor,Yes,not interested,0
+1-233-239-7283x70163,lauramorris@lyons-stewart.com,541,18-25,Married,256834,Business,Yes,,1
171.212.5929,andrea73@moore.net,412,36-50,Married with Kids,270402,Student,No,follow up later,0
(256)139-6651,stevenhawkins@yahoo.com,339,18-25,Married,127353,Student,No,,0
5666812710,sellis@gmail.com,663,26-35,Married,855619,Engineer,No,not interested,1
900-536-2210,kimberly49@gmail.com,353,51+,Married with Kids,884825,Business,No,not interested,1
(495)222-2858x1469,edward30@skinner.org,416,26-35,Married with Kids,883963,Artist,Yes,follow up later,1
8256838822,ysummers@long.org,524,51+,Single,209537,Doctor,No,please call back,1
(453)421-4122,kennedynicole@yahoo.com,573,26-35,Married with Kids,931282,Doctor,Yes,please call back,1
(775)116-0988x9996,edgaranderson@hotmail.com,592,36-50,Single,503243,Doctor,No,not interested,0
+1-744-735-6125x187,emilyperry@gmail.com,850,36-50,Single,374250,Engineer,No,follow up later,1
726-464-8676,hayesamanda@hotmail.com,508,51+,Single,246029,Artist,Yes,please call back,0
+1-251-112-7540x8672,ashleypierce@french.com,325,18-25,Single,718271,Student,Yes,please call back,1
642.335.4496,garciamatthew@hotmail.com,431,18-25,Married,600387,Engineer,No,urgent,1
001-132-429-8616x41922,pittmanjohn@yahoo.com,419,18-25,Married,512371,Student,Yes,follow up later,0
700-766-1347,lphillips@smith.com,825,18-25,Married with Kids,515860,Student,Yes,please call back,1
(832)376-1717,ijones@leonard.com,493,26-35,Single,137626,Artist,No,follow up later,0
001-964-418-1831x95592,cdecker@flores.com,583,26-35,Married with Kids,474604,Artist,Yes,please call back,0
+1-480-491-8891x45136,walterlaura@hotmail.com,419,36-50,Married with Kids,473712,Artist,Yes,,0
+1-636-701-7527x53075,lmiller@holt-gilbert.com,396,26-35,Married with Kids,782028,Artist,Yes,not interested,1
(205)661-7347,hansonmartin@yahoo.com,827,51+,Single,182340,Student,Yes,urgent,1
(732)491-2632,murphylaura@gmail.com,352,26-35,Married with Kids,194184,Student,No,not interested,0
(338)588-5245,colinhanson@yahoo.com,424,51+,Married with Kids,470127,Student,No,not interested,0
470.728.9117x333,ugreen@long.com,630,51+,Married,800031,Engineer,Yes,please call back,1
(880)373-3926x2520,frederick81@lee-mack.com,828,18-25,Married with Kids,264269,Student,No,please call back,1
905-253-9847x05313,katiedavis@hotmail.com,730,51+,Single,150005,Business,Yes,please call back,0
(717)127-1832,jenniferatkins@gmail.com,739,18-25,Married with Kids,487910,Business,No,urgent,1
893-132-2812,vanceethan@yahoo.com,766,36-50,Married with Kids,490113,Business,No,urgent,1
+1-414-568-5632x4751,matthewwatson@payne.com,533,36-50,Single,134189,Business,No,not interested,0
301.828.0272,bethhernandez@gmail.com,738,26-35,Single,755290,Artist,No,not interested,1
+1-678-459-1803x3155,efarrell@vance-bishop.com,745,51+,Married,668578,Student,No,not interested,0
+1-124-446-9929x307,jacksonemily@rodriguez.biz,552,18-25,Single,496564,Student,Yes,urgent,1
415-711-8436,daughertyjeffrey@hotmail.com,784,26-35,Married,230714,Business,Yes,not interested,1
883.418.6241x51297,kimberly37@yahoo.com,377,26-35,Married,404943,Artist,No,please call back,0
192-822-2701x6995,taralloyd@smith.com,823,18-25,Married,984645,Engineer,No,please call back,1
019-982-0737x0772,jennifer77@gmail.com,329,26-35,Single,621685,Business,No,,0
001-163-915-4766x751,rodriguezjesse@harrell.com,839,26-35,Single,828674,Engineer,No,follow up later,1
656.963.1199,jorge70@gmail.com,431,51+,Single,569709,Student,Yes,please call back,0
320-723-5175,jessebishop@smith.org,390,51+,Married,977939,Business,Yes,,1
259.640.3874x3005,pennygill@hotmail.com,768,26-35,Single,458491,Business,No,urgent,1
+1-462-193-2824x8171,trichards@gmail.com,315,26-35,Married,595645,Doctor,Yes,,1
+1-557-332-7904,holly67@gmail.com,452,26-35,Single,334561,Doctor,Yes,please call back,0
(002)010-7281x34503,mdominguez@gmail.com,825,18-25,Single,428068,Business,Yes,,1
451-388-0674x4045,ochoaashley@yahoo.com,593,51+,Married,706516,Engineer,No,urgent,1
(023)508-4143x7523,batescourtney@hotmail.com,577,36-50,Married with Kids,510718,Artist,Yes,urgent,1
(654)034-3326,donaldbailey@yahoo.com,350,18-25,Married,354204,Doctor,Yes,follow up later,1
741-256-9033x37164,ryanbennett@gmail.com,376,36-50,Single,799102,Doctor,Yes,not interested,1
+1-567-637-5654x1422,ashleywinters@yahoo.com,464,26-35,Married,239996,Doctor,No,urgent,1
403-004-5423x4627,jacksonjeffrey@yahoo.com,742,18-25,Married,557789,Business,Yes,not interested,0
+1-750-525-8689x7417,clarkadrian@crane.biz,585,36-50,Married,468122,Doctor,No,urgent,1
758.480.6795x7580,johncabrera@torres-weaver.com,477,36-50,Single,423769,Artist,Yes,,0
(154)095-5087,huffmancody@gmail.com,576,36-50,Married with Kids,346923,Business,Yes,urgent,1
(645)559-1309,breanna43@maddox.com,462,36-50,Single,707269,Engineer,No,follow up later,1
(629)381-1752x500,fmiller@warren.info,639,26-35,Married,941554,Artist,No,,1
001-021-705-1848x04167,mccoylindsay@ramirez.info,741,18-25,Single,774902,Business,No,not interested,1
848.221.2184,johnrichardson@rice.org,657,26-35,Married with Kids,694355,Doctor,Yes,follow up later,0
(831)513-7154x540,omelendez@henson.com,666,51+,Married,121275,Engineer,No,,0
001-399-246-8790x5071,ocollins@lane.biz,642,18-25,Married with Kids,386023,Doctor,No,follow up later,0
(336)572-5520x2883,hpage@gmail.com,432,36-50,Married with Kids,164966,Business,Yes,please call back,0
(609)530-3079,ryansmith@hotmail.com,635,18-25,Single,766712,Doctor,Yes,please call back,1
959-420-0778x48948,cookjennifer@gmail.com,345,36-50,Married with Kids,436125,Student,Yes,not interested,0
+1-894-521-8781x5314,melissa13@lee.com,835,36-50,Single,419785,Doctor,Yes,please call back,1
8119414755,khensley@wu-lucas.com,354,36-50,Single,474210,Business,No,,1
4077847599,heatherwashington@yahoo.com,761,36-50,Married,942246,Artist,No,urgent,1
(651)509-0202,rfoster@haynes-cameron.net,632,18-25,Married with Kids,103650,Student,No,not interested,0
835-193-3456,dhernandez@roberts-lopez.biz,505,26-35,Married,187772,Doctor,No,follow up later,0
001-096-934-8932x74937,humphreyjesse@hotmail.com,747,18-25,Married,489680,Artist,No,not interested,0
013-463-0036x8348,sextonkevin@hoover.biz,347,51+,Married with Kids,466311,Business,Yes,follow up later,1
484-874-2130,bennettdavid@delgado.com,423,36-50,Married with Kids,377192,Doctor,Yes,,1
001-055-487-6866x0500,cathyrios@hotmail.com,516,26-35,Single,198218,Artist,Yes,follow up later,0
643-859-5979,newmankevin@scott.com,836,26-35,Single,506214,Student,Yes,,1
811-904-8648x6110,joshuaduran@hotmail.com,586,18-25,Married,216153,Doctor,No,please call back,1
(241)385-9970x76349,susan84@gmail.com,408,51+,Married,258057,Engineer,Yes,follow up later,1
1264926320,jeffrey57@murphy.net,681,26-35,Single,245091,Artist,Yes,urgent,1
178-181-5809,jeremiahmcdaniel@jennings-schwartz.info,822,36-50,Single,584694,Artist,No,urgent,1
048-704-2626x7074,lfleming@jenkins.com,463,51+,Single,504375,Engineer,No,not interested,0
803-636-5367,torresmichelle@yahoo.com,497,36-50,Single,882649,Student,Yes,please call back,1
098.113.2350,heatherjensen@jones.com,834,26-35,Single,371406,Engineer,No,follow up later,1
351.895.5709x1614,tracy21@hill-medina.com,753,36-50,Single,921008,Student,No,urgent,1
8326957804,emosley@romero.info,751,26-35,Married with Kids,257698,Engineer,Yes,,1
001-714-746-2997x319,steeletracy@gmail.com,756,18-25,Single,684552,Business,No,,1
(218)758-0854,patricia81@yahoo.com,841,51+,Single,961718,Student,No,urgent,1
+1-364-472-6151x187,weaverrichard@marquez.com,554,51+,Married with Kids,129741,Student,Yes,,0
+1-908-211-5526,shortmark@yahoo.com,818,36-50,Married,853040,Artist,Yes,follow up later,1
641.177.7131,mariogregory@powell.biz,792,26-35,Single,842768,Doctor,Yes,urgent,1
9139795450,tony33@clark-lane.com,566,36-50,Married with Kids,870662,Engineer,No,,1
001-649-527-5511x73002,santiagoelizabeth@gmail.com,532,51+,Single,990699,Student,No,please call back,1
793.072.6465,hudsonsharon@johnson.com,350,18-25,Married,448893,Doctor,No,,0
2329254456,ramirezstephanie@yahoo.com,434,26-35,Single,152763,Engineer,No,not interested,0
919.809.2643,buckreginald@hammond-grimes.info,515,18-25,Single,514853,Doctor,No,,0
+1-722-329-5981x651,crystal12@pratt-lucas.com,721,18-25,Married with Kids,170490,Engineer,Yes,please call back,0
+1-507-857-5346x809,james42@cortez.net,674,51+,Married,167637,Engineer,Yes,urgent,1
893.461.1345,tony46@christensen.com,387,51+,Single,615823,Engineer,Yes,follow up later,0
+1-174-951-9301x409,valerienguyen@yahoo.com,408,51+,Single,443073,Business,No,urgent,1
960-713-2152,anguyen@hotmail.com,344,18-25,Married,215932,Business,Yes,urgent,1
(599)069-4121x1489,jamesboyd@nichols.com,508,36-50,Married,774675,Engineer,No,please call back,1
321-360-5094,fbooth@perry.com,502,36-50,Single,433391,Engineer,No,follow up later,1
7294402458,tracy56@maxwell.net,434,36-50,Single,751426,Student,Yes,follow up later,1
(277)634-3712x2420,ajohnson@yahoo.com,602,51+,Married with Kids,380679,Business,No,urgent,1
750-174-8967x26230,leslie05@ortega-holmes.com,587,18-25,Married,345118,Business,Yes,not interested,0
+1-875-326-3220x0006,anthonymendez@gmail.com,392,26-35,Married with Kids,658234,Student,No,urgent,1
4596843402,sanchezjustin@rocha-shepherd.info,746,51+,Married,147358,Business,No,follow up later,0
+1-617-938-3990,tony94@bowman-adams.com,406,18-25,Married with Kids,493057,Business,No,please call back,1
001-648-328-1674,megan30@peters.com,355,18-25,Single,525729,Artist,No,urgent,1
875-527-1106x220,peter05@yahoo.com,335,36-50,Married,676596,Doctor,Yes,follow up later,1
+1-652-123-7941x591,emily82@hotmail.com,735,51+,Married,833846,Engineer,No,not interested,1
+1-580-141-1293x8971,dcruz@jackson.com,676,26-35,Single,808139,Doctor,Yes,not interested,1
001-911-180-8005x125,svazquez@weber.com,627,51+,Single,453941,Engineer,Yes,,0
+1-414-085-4075,hblake@yahoo.com,493,36-50,Single,102502,Engineer,No,,0
(732)910-6796,wendyerickson@meyers.info,469,18-25,Married with Kids,180012,Business,No,,0
414-901-3396x50584,hayden11@west-thomas.com,400,26-35,Married,363669,Engineer,No,not interested,0
+1-220-773-8952x255,danielle17@gmail.com,485,36-50,Married with Kids,290200,Business,No,follow up later,1
357.274.6586x92397,emily95@jones.org,498,18-25,Married,532046,Artist,Yes,,1
804.934.9756,johnmcdaniel@gmail.com,549,26-35,Single,579989,Business,Yes,,1
085.199.1177,rodgersmelanie@gmail.com,428,18-25,Married with Kids,758551,Student,No,not interested,1
+1-376-137-3739x31383,swhite@griffith.info,335,36-50,Married with Kids,440988,Doctor,Yes,not interested,0
001-502-119-5811,susan28@johnson-bennett.org,510,36-50,Single,187400,Student,No,not interested,0
001-845-971-3415,toddsavage@rogers.com,691,36-50,Married,731307,Artist,No,follow up later,1
325-982-7697,ruben81@garza-brown.com,452,36-50,Married with Kids,138090,Artist,Yes,not interested,0
001-939-978-6288,rittertodd@hotmail.com,752,26-35,Single,147435,Student,No,follow up later,1
829-276-2967,rachel44@walker.com,727,36-50,Married,156696,Doctor,Yes,,0
+1-899-980-4892x1496,lbrock@roberts.com,394,51+,Married with Kids,203763,Student,No,not interested,0
6457093247,perrymatthew@ware.com,663,51+,Married with Kids,202275,Artist,No,urgent,1
1664048956,ghoward@king.info,593,51+,Single,856452,Business,No,not interested,1
814.783.5937,shannonmoore@davis.net,328,36-50,Married,445901,Engineer,Yes,not interested,0
185.006.3382x837,howellstacy@gmail.com,505,26-35,Single,930573,Student,Yes,not interested,1
5990316648,bmoreno@yahoo.com,776,18-25,Married,889668,Business,Yes,urgent,1
243.913.3954x296,chelseabrown@ayers.com,506,51+,Single,747183,Student,Yes,not interested,1
+1-836-148-2986,emartin@thomas.com,347,51+,Married,346969,Doctor,No,not interested,0
(585)064-4979,matthew92@mitchell.com,811,51+,Married with Kids,680242,Engineer,Yes,follow up later,1
476.270.4412x17435,kliu@krueger.info,830,36-50,Married,294683,Artist,No,follow up later,1
+1-924-132-6342x30024,jamiehill@jones.biz,316,26-35,Married,442198,Engineer,Yes,urgent,1
(232)262-5590x59640,rebecca34@hotmail.com,637,51+,Married with Kids,978260,Engineer,Yes,follow up later,1
(903)661-7550x330,pbell@armstrong-oconnell.com,778,36-50,Single,466250,Artist,Yes,urgent,1
326-008-6289x02195,tpeck@yahoo.com,413,36-50,Single,788818,Student,Yes,,1
852.404.2053,bmyers@hotmail.com,364,36-50,Married with Kids,983850,Engineer,No,,1
001-600-697-1553x282,hudsonjeremy@yahoo.com,376,18-25,Married with Kids,831959,Student,Yes,urgent,1
(194)110-6489,dodsonwesley@wise.org,689,51+,Married with Kids,563296,Student,No,please call back,1
(874)620-6000x7945,tylerrojas@morris.net,376,51+,Married,188736,Student,No,follow up later,0
(183)392-5756x191,thompsontyler@brown.com,831,36-50,Single,218941,Artist,No,,1
757.561.5427x53319,mwilson@hotmail.com,745,18-25,Single,329238,Student,Yes,please call back,1
075.871.2586,michael59@yahoo.com,714,18-25,Married with Kids,426592,Student,Yes,please call back,0
(136)355-3568,vvillegas@payne.com,358,26-35,Married,919121,Doctor,Yes,please call back,1
001-103-336-2655x756,savannah95@washington.com,849,51+,Married,400329,Doctor,Yes,follow up later,1
+1-482-783-6459x8994,hodavid@yahoo.com,685,36-50,Single,318205,Doctor,No,please call back,1
844.460.9724x104,kimberlycabrera@hotmail.com,457,36-50,Married,325416,Student,Yes,urgent,1
172.948.2194x114,mtaylor@king.com,552,51+,Married with Kids,657005,Artist,No,not interested,0
770-424-4501x05159,danielgraham@gmail.com,466,26-35,Married,508064,Student,Yes,not interested,0
(536)082-4784,lcordova@dunn.com,551,18-25,Single,481912,Artist,Yes,please call back,1
